"Ravage 2099#24 (November, 1994),","November, 1994"
"Peter Parker Spider-Man II#21 (September, 2000),",25082
"Amazing Spider-Man I#502 (February, 2004),","February, 2004"
"(Angela Cairn) Spectacular Spider-Man II#190 (July, 1992) (Nocturne),","July, 1992"
"(as Roderick Kingsley) Amazing Spider-Man I#249 (February, 1984); (identified as Daniel Kingsley) Spider-Man Hobgoblin Lives#1 (January, 1997),","February, 1984"
"X-Men II Annual#3 (1994),",1994
"Defenders I#44 (February, 1977),","February, 1977"
"Deathlok II#2, 3 (September, 1991),","September, 1991"
"Black Cat#1 (July, 1994),","July, 1994"
"Captain Marvel I#12 (April, 1969),","April, 1969"
"Avengers I#178 (December, 1978),","December, 1978"
"Uncanny X-Men#146 (June, 1981),","June, 1981"
"Journey into Mystery I#75/1 (December, 1961),",25173
"Fantastic Four I#7 (October, 1962),","October, 1962"
"Exiles III#1 (June, 2009),","June, 2009"
"Tales of Suspense I#61 (January, 1965),","January, 1965"
"Daredevil I#9 (August, 1965),","August, 1965"
"Marvel Super-Heroes III#2 (July, 1990),","July, 1990"
"Avengers I#36 (January, 1967),","January, 1967"
"Wild Thing II#5/1 (February, 2000),","February, 2000"
"Strange Tales I#133/1 (June, 1965),","June, 1965"
"Marvel Vision#17 (May, 1997),","May, 1997"
"(bts) Doctor Who Monthly#84 (January 1984); (seen) Doctor Who Magazine#86 (March 1984),",Jan-84
"Thor I#404 (June, 1989),","June, 1989"
"Marvel Treasury Edition#12 (1976),",1976
"Daredevil I#8 (June, 1965),","June, 1965"
"Marvel Treasury Edition#12 (1976),",1976
"Marvel Super-Heroes III#8 (Winter, 1991),","Winter, 1991"
"Abominations#1 (December, 1996),","December, 1996"
"World of Fantasy I#11 (April, 1958),",24929
"Avengers III#8 (September, 1998),","September, 1998"
"Sensational She-Hulk#3 (July, 1989),","July, 1989"
"(partial) Savage She-Hulk#2 (April, 1980); (actual) Savage She-Hulk#3 (May, 1980),","April, 1980"
"Spidey Super Stories#50/1 (January, 1981),","January, 1981"
"(Unidentified) X-Men I#107 (October, 1977); (as Midget) X-Men Spotlight on Starjammers#2 (1990); (as Scintilla) Avengers West Coast#81 (April, 1991),","October, 1977"
"Untold Tales of Spider-Man#1 (September, 1995),",25082
"Sensational She-Hulk#52 (June, 1993),","June, 1993"
"Marc Spector Moon Knight#10 (January, 1990),",24838
"Savage She-Hulk#2 (March, 1980),","March, 1980"
"(Marvel Comics) Strange Tales I#34 (February, 1955) (behind-the-scenes) Nick Fury, Agent of S.H.I.E.L.D I#10 (March, 1969); (full) Howard the Duck II#3 (February, 1980),","February, 1955"
"Defenders I#32 (February, 1976),","February, 1976"
"(Behind the Scenes) West Coast Avengers II#44 (May, 1989) Avengers West Coast II#47 (August, 1989),","May, 1989"
"Sensational She-Hulk#10 (December, 1989),","December, 1989"
"Thor Annual#10 (1982),",1982
"Man-Thing I#2 (February, 1974),","February, 1974"
"Daredevil I#4 (October, 1964),","October, 1964"
"Marvel Fanfare I#48 (December; 1989),",December; 1989
"Slingers#0 (December, 1998),","December, 1998"
"Thor I#127 (April, 1966),","April, 1966"
"Spider-Man I#15 (October, 1991),","October, 1991"
"(Adventures into) Fear#11 (December 1972),",Dec-72
"(BTS) Amazing Spider-Man I#161 (October, 1976), (seen) Amazing Spider-Man I#162 (November, 1976),","October, 1976"
"Peter Parker Spider-Man I#77 (February, 1997),",24869
"Marvel Team-Up I#33 (May, 1975),","May, 1975"
"Marvel Team-Up I#68 (April, 1978),","April, 1978"
"New Avengers#17 (May, 2006),","May, 2006"
"Amazing Spider-Man II#559 (July, 2008),","July, 2008"
"Monster of Frankenstein#10 (May, 1974),","May, 1974"
"Marvel Team-Up I#149 (January, 1985),","January, 1985"
"Spectacular Spider-Man II#32 (July, 1979),","July, 1979"
"Spectacular Spider-Man II#55 (June, 1981),","June, 1981"
"Web of Spider-Man#83 (December, 1991),","December, 1991"
"Hostess Fruit Pies ad Spider-man\'s Dream Girl! from Micronauts I#36 (December,1981) and other issues published in that month,",
"Hostess Twinkies ad Hotshot on the Block from Thor I#284 (June, 1979) and other issues published in that month,",
"Web of Spider-Man#19 (October, 1986),","October, 1986"
"Hostess ad Spider-Man Meets the Home Wrecker from Spider-Woman I#4 (July, 1978) and other issues published in that month.,",
"Marvel Fanfare I#42/2 (February, 1989),","February, 1989"
"Slingers #0 (December, 1998),","December, 1998"
"Secret War#3 (October, 2004),","October, 2004"
"X-Factor I#1 (February, 1986),","February, 1986"
"(Behind-the-scenes) Avengers I#2 (November, 1963) (true appearance) Avengers I#10 (November, 1964),","November, 1963"
"Spectacular Spider-Man II#4 (March, 1977),","March, 1977"
"Marvel Team Up I#87 (November, 1979),",25143
"Power Man and Iron Fist#107 (July, 1984),","July, 1984"
"Journey Into Mystery I#77/1 (February, 1962),",24869
"(tentacles only) Amazing Spider-Man I#405 (September, 1995) (full) Amazing Spider-Man I#406 (October, 1995),","September, 1995"
"(As Kingsley) Spectacular Spider-Man II#43 (June, 1980); (as the Hobgoblin) Amazing Spider-Man I#238 (March, 1983),","June, 1980"
"(unnamed) Ms. Marvel#13 (January, 1978); (named) Iron Man III#18 (July, 1999),","January, 1978"
"Iron Man Annual#4 (1977),",1977
"Iron Lantern#1 (April, 1997),","April, 1997"
"Super Spider-Man and Captain Britain#243 (October 5, 1977),",5-Oct-77
"Challengers of the Fantastic II#1 (June, 1997),","June, 1997"
"Tales of Suspense I#40/1 (April, 1963),",24929
"Mystic Comics I#1/1 (March, 1940),","March, 1940"
"Marvel Team-Up I#18 (February, 1974),","February, 1974"
"Shogun Warriors#9 (October, 1979),","October, 1979"
"Thor I#220 (February, 1974),","February, 1974"
"West Coast Avengers II#30 (March, 1988),",24898
"Wolverine/Punisher Revelation#1 (June, 1999),","June, 1999"
"Fantastic Four I#184 (July, 1977),","July, 1977"
"Tales Of Suspense I#13/1 (January, 1961),",24838
"Fantastic Four I#16 (July, 1963),","July, 1963"
"Doc Samson#1 (1996),",1996
"Defenders II#1 (March, 2001),","March, 2001"
"Avengers I#279 (May, 1987),","May, 1987"
"(mentioned) Fantastic Four I#362 (March, 1992); (seen) Fantastic Four I#363 (April, 1992),","March, 1992"
"Civil War Frontline#4 (September, 2006),","September, 2006"
"Marvel Two-in-One#88 (October, 1983),","October, 1983"
"(Mentioned) Iron Man IV#8 (July, 2006); (Seen) Iron Man IV#10 (September, 2006),","July, 2006"
"She-Hulk III#1 (May, 2004),","May, 2004"
"Avengers I#69 (October, 1969),","October, 1969"
"Savage She-Hulk#16 (May, 1981),","May, 1981"
"She-Hulk I#4 (August, 2004),","August, 2004"
"Avengers I#295 (September, 1988),","September, 1988"
"Uncertain (Atlas Comics) Black Knight Comics#1 (May, 1955) (Marvel) Spider Woman I#2 (May, 1978),","May, 1955"
"Savage She-Hulk#17 (June, 1981),","June, 1981"
"Sensational She-Hulk#8 (December, 1989); (11(fb), 8, 10, 11, 19,","December, 1989); (11(fb"
"Daredevil I#78 (July, 1971),","July, 1971"
"Marvel Team Up I#8 (April, 1973),",24929
"() Tales to Astonish I#49/1 (November, 1963) () Sensational She-Hulk#35 (January, 1992) () [Defenders II#1 - BTS] (March, 2001),","November, 1963"
"Captain America I#307 (July, 1985),","July, 1985"
"Web of Spider-Man#27 (June, 1987),","June, 1987"
"Fast Lane insert#1 (November, 1999),","November, 1999"
"Spider-Man Unlimited#11/1 (February, 1996),","February, 1996"
"Lethal Foes of Spider-Man#1 (September, 1993),",25082
"Amazing Spider-Man Annual I#2 (1965),",1965
"Machine Man I#16 (August, 1980),","August, 1980"
"Spider-Man the Arachnis Project#1-BTS; Spider-Man the Arachnis Project#2 (August, 1994),",
"Spider-Man/Doctor Octopus Negative Exposure#1 (December,2003),","December,2003"
"Thor I#140 (May, 1967),","May, 1967"
"Amazing Spider-Man I#38 (July, 1966),","July, 1966"
"Sub-Mariner I#61 (May, 1973),","May, 1973"
"Webspinners Tales of Spider-Man#17 (May, 2000),",24959
"Peter Parker Spider-Man I#88 (February, 1998),",24869
"Spider-Man I#47 (June, 1994),","June, 1994"
"Amazing Fantasy I#15/1 (August, 1962),","August, 1962"
"Amazing Adventures II#15 (November, 1972),","November, 1972"
"Marvel Team-Up I#91 (March, 1980),","March, 1980"
"(As Lansky) Spectacular Spider-Man II#1 (December, 1976); (as Lightmaster) Spectacular Spider-Man II#3 (February, 1977),","December, 1976"
"Amazing Spider-Man I#103 (December, 1971),","December, 1971"
"Power Man#41 (March, 1977),","March, 1977"
"Spider-Man/Gen 13#1 (November, 1996),","November, 1996"
"The Amazing Spider-Man I#437 (October, 2000)First Appearance,",
"Daredevil I#366 (August, 1997),","August, 1997"
"Amazing Spider-Man I#438 (September, 1998),","September, 1998"
"Amazing Fantasy I#15 (August, 1962),","August, 1962"
"X-Men I#62 (November, 1969),","November, 1969"
"Amazing Spider-Man I#11 (April, 1964),","April, 1964"
"Spider-Man The Gathering of the Sinister Six novel (March, 1999),","March, 1999"
"Marvel Team-Up I#55 (March, 1977),","March, 1977"
"Tales to Astonish I#94/1 (August, 1967),",25051
"Marvel Comics Presents I#43/3 (1990),",1990
"Dazzler#10 (December, 1981),","December, 1981"
"Fantastic Four I#157 (April, 1975),","April, 1975"
"Journey into Mystery I#95/1 (August, 1963),","August, 1963"
"Avengers III#12 (January, 1999),","January, 1999"
"Silver Surfer I#13 (February, 1970),","February, 1970"
"Fantastic Four I#263 (February, 1984),","February, 1984"
"Defenders I#94 (April, 1981),","April, 1981"
"Iron Man I#2 (June, 1968),","June, 1968"
"Tales to Astonish I#46 (August, 1963),","August, 1963"
"Marvel Two-In-One#53 (July, 1979),","July, 1979"
"Thor I#174 (March, 1970),","March, 1970"
"(Movie/Earth-7711 version) Rampaging Hulk I#1 (January, 1977); (Earth-616 appearance) Incredible Hulk II#269 (March, 1982),","January, 1977"
"Avengers I#18 (July, 1965),","July, 1965"
"Marvel Comics Presents#20/1 (May, 1989),","May, 1989"
"(As Cerebrax) Squadron Supreme#6 (February, 1986); (as Cerebrac) Squadron Supreme Death of a Universe (1989),","February, 1986"
"Iron Man I#5 (September, 1968),","September, 1968"
"Shogun Warriors#7 (August, 1979),","August, 1979"
"Silver Surfer Dangerous Artifacts#1 (June, 1996),",24990
"Marvel Double Shot#4/1 (April, 2003),","April, 2003"
"Not Brand Ecch#5 (December, 1967),","December, 1967"
"Avengers I#228 (February, 1983),","February, 1983"
"Cloak and Dagger II#8 (November, 1989),",25143
"Thor I#371 (September, 1986),","September, 1986"
"Amazing Scarlet Spider#2 (December, 1995),","December, 1995"
"Fantastic Four I#298 (January, 1987),","January, 1987"
"(As Jackdaw) Incredible Hulk II#274 (August, 1982); (as Blackbird) Captain America I#388 (July, 1991), (named) 389 (early August, 1991),","August, 1982"
"Machine Man II#2 (November, 1984),","November, 1984"
"Fantastic Four I#209 (August, 1979),","August, 1979"
"(As Hobgoblin) X-Men I#107 (October, 1977); (as Shapeshifter) Avengers West Coast#81 (April, 1991),","October, 1977"
"Thor I#129 (June, 1966),","June, 1966"
"Darkhawk#5 (July, 1991),","July, 1991"
"Marvel Two-In-One#60 (February, 1980),","February, 1980"
"Sensational She-Hulk#51 (May, 1993),","May, 1993"
"Savage She-Hulk#18 (July, 1981),","July, 1981"
"Avengers III#44 (August, 2001),","August, 2001"
"X-Men#41 (February 1967),",24504
"Order I#3 (June, 2002),","June, 2002"
"(Adventure into) Fear#19 (December, 1973) (identified) Man-Thing I#1 (January, 1974),","December, 1973"
"Mystery Tales I#21 (September, 1954),","September, 1954"
"Howard the Duck I#17 (October, 1977),",25112
"Doc Samson#1 (1996),",1996
"Strange Tales I#89/1 (October , 1961),",25112
"Sensational She Hulk#56 (October, 1993),","October, 1993"
"Web of Spider-Man Annual#1 (1985),",1985
"Peter Parker Spider-Man II#30 (June, 2001),",24990
"Amazing Spider-Man I#208 (September, 1980),","September, 1980"
"Amazing Spider-Man I#217 (June, 1981),","June, 1981"
"Blade III#10 (August, 2007),","August, 2007"
"Daredevil I#18 (July, 1966),","July, 1966"
"Spectacular Spider-Man II#165 (June, 1990),","June, 1990"
"Spectacular Spider-Man II#165 (June, 1990),","June, 1990"
"(in Marvel comics) X-Men I#40 (January, 1968); Monster of Frankenstein#1 (January, 1973),","January, 1968"
"Amazing Spider-Man I#25 (June, 1965),","June, 1965"
"(In shadows) Omega the Unknown#8 (May, 1977) (fully seen) Omega the Unknown#9 (July, 1977),","May, 1977"
