"Medicine and Magic object/3039527","object/3039527/title/Medicine and Magic"
"Guadalupe object/3087288","object/3087288/title/Guadalupe"
"Sketchbook object/3087311","object/3087311/title/Sketchbook"
"Circus (wagons) object/3087414","object/3087414/title/Circus (wagons"
"Nature's Cathedrals object/3087433","object/3087433/title/Nature's Cathedrals"
"Adobe with Purple Shadows object/3087858","object/3087858/title/Adobe with Purple Shadows"
"Newport, Rhode Island (Beacon Rock) object/3088102","object/3088102/title/Newport, Rhode Island (Beacon Rock"
"Reclining Nude object/3088189","object/3088189/title/Reclining Nude"
"Torso Taos, New Mexico (1930) object/3088349","object/3088349/title/Torso Taos, New Mexico (1930"
"Landscape at Boerne, Texas object/3088464","object/3088464/title/Landscape at Boerne, Texas"
"Male Saint object/3089428","object/3089428/title/Male Saint"
"The Pink Dress object/3090228","object/3090228/title/The Pink Dress"
"The Surgeons object/3091480","object/3091480/title/The Surgeons"
"Sketchbook object/3093081","object/3093081/title/Sketchbook"
"landscape object/3093446","object/3093446/title/landscape"
"The Three Crosses object/3093844","object/3093844/title/The Three Crosses"
"Lake in Central Park object/3093986","object/3093986/title/Lake in Central Park"
"Autumn Beeches object/3094882","object/3094882/title/Autumn Beeches"
"Standing Mobile object/3095271","object/3095271/title/Standing Mobile"
"Slow Train Through Arkansas object/3095463","object/3095463/title/Slow Train Through Arkansas"
"The Visitors object/3096506","object/3096506/title/The Visitors"
"American Shops object/3097039","object/3097039/title/American Shops"
"Sally object/3097800","object/3097800/title/Sally"
"Who talks within there? ho! open the door. (Illustration reproduction for ,The Comedy of Errors,) object/3097890","object/3097890/title/Who talks within there? ho! open the door. (Illustration reproduction for ,The Comedy of Errors"
"Jack Rabbit object/3098190","object/3098190/title/Jack Rabbit"
"Pro and Contra object/3098325","object/3098325/title/Pro and Contra"
"Episode object/3098351","object/3098351/title/Episode"
"Night in the Park object/3098759","object/3098759/title/Night in the Park"
"Song and Dance object/3098916","object/3098916/title/Song and Dance"
"Hun or Home? Buy More Liberty Bonds object/3099644","object/3099644/title/Hun or Home? Buy More Liberty Bonds"
"Sketchbook object/3101781","object/3101781/title/Sketchbook"
"Canal Street New Orleans object/3101868","object/3101868/title/Canal Street New Orleans"
"Female Head object/3102068","object/3102068/title/Female Head"
"Holy Person object/3102482","object/3102482/title/Holy Person"
"Cat Fish Row object/3102529","object/3102529/title/Cat Fish Row"
"Central Park object/3103336","object/3103336/title/Central Park"
"Winter Street Scene object/3103768","object/3103768/title/Winter Street Scene"
"Sketchbook object/3103786","object/3103786/title/Sketchbook"
"The Alamo, Midnight, March 6, 1936 object/3103900","object/3103900/title/The Alamo, Midnight, March 6, 1936"
"Deserted Mine object/3103923","object/3103923/title/Deserted Mine"
"Wolf Eagle object/3104255","object/3104255/title/Wolf Eagle"
"Soaring New York object/3104823","object/3104823/title/Soaring New York"
"Still Life object/3104944","object/3104944/title/Still Life"
"Weltschmerz object/3105536","object/3105536/title/Weltschmerz"
"New Orleans Iron Work object/3105638","object/3105638/title/New Orleans Iron Work"
"It's Hot object/3106333","object/3106333/title/It's Hot"
"Dallas Skyline object/3107519","object/3107519/title/Dallas Skyline"
"Self Portrait object/3107544","object/3107544/title/Self Portrait"
"Poole's Sea Food object/3109513","object/3109513/title/Poole's Sea Food"
"Brahma Alert object/3111215","object/3111215/title/Brahma Alert"
"Camino de Hondo object/3111228","object/3111228/title/Camino de Hondo"
"Sketchbook object/3111245","object/3111245/title/Sketchbook"
"Sketchbook object/3111261","object/3111261/title/Sketchbook"
"Black Bull object/3111299","object/3111299/title/Black Bull"
"Art Student object/3111598","object/3111598/title/Art Student"
"The Squatter's Hut object/3114572","object/3114572/title/The Squatter's Hut"
"Rain on the Mountains object/3114960","object/3114960/title/Rain on the Mountains"
"Storm Lit Hills object/3115307","object/3115307/title/Storm Lit Hills"
"The Model object/3115607","object/3115607/title/The Model"
"The Fleet's In object/3116245","object/3116245/title/The Fleet's In"
"Near Englewood object/3116898","object/3116898/title/Near Englewood"
"Copyist at the Metropolitan Museum object/3119276","object/3119276/title/Copyist at the Metropolitan Museum"
"Sketchbook object/3120199","object/3120199/title/Sketchbook"
"Sketchbook object/3120218","object/3120218/title/Sketchbook"
"Mexican Landscape (adobe) object/3122577","object/3122577/title/Mexican Landscape (adobe"
"Guinea Fowl object/3124342","object/3124342/title/Guinea Fowl"
"Sketchbook object/3126734","object/3126734/title/Sketchbook"
"Mexican People object/3126965","object/3126965/title/Mexican People"
"Christopher Street Shop object/3127061","object/3127061/title/Christopher Street Shop"
"San Jose Mission object/3127192","object/3127192/title/San Jose Mission"
"Grasshopper and Farmer object/3127869","object/3127869/title/Grasshopper and Farmer"
"To Build Something Else object/3127971","object/3127971/title/To Build Something Else"
"Pasture object/3128796","object/3128796/title/Pasture"
"Saturday Nite object/3129085","object/3129085/title/Saturday Nite"
"Krum Weighing Station, Krum object/3130021","object/3130021/title/Krum Weighing Station, Krum"
"Las Cruces object/3130056","object/3130056/title/Las Cruces"
"Untitled (girl in folding chair) object/3131500","object/3131500/title/Untitled (girl in folding chair"
"Wild Horse Peaks object/3131550","object/3131550/title/Wild Horse Peaks"
"Planing object/3131565","object/3131565/title/Planing"
"Composition-Dancers object/3131690","object/3131690/title/Composition-Dancers"
"Rattler object/3132092","object/3132092/title/Rattler"
"Rainy Day object/3134501","object/3134501/title/Rainy Day"
"Thunder at Dark object/3135293","object/3135293/title/Thunder at Dark"
"A Store in Austin object/3135347","object/3135347/title/A Store in Austin"
"Yucca and the Prickly Pear object/3135366","object/3135366/title/Yucca and the Prickly Pear"
"Tree of Life object/3135735","object/3135735/title/Tree of Life"
"Subway Corner object/3135771","object/3135771/title/Subway Corner"
"Seascape object/3136005","object/3136005/title/Seascape"
"The Bicycle Rider object/3136940","object/3136940/title/The Bicycle Rider"
"Sketchbook object/3137199","object/3137199/title/Sketchbook"
"Canyon object/3137318","object/3137318/title/Canyon"
"Hooking on at Central Power object/3138097","object/3138097/title/Hooking on at Central Power"
"The Red Mill object/3138290","object/3138290/title/The Red Mill"
"The Island object/3138392","object/3138392/title/The Island"
"Sketchbook object/3138512","object/3138512/title/Sketchbook"
"Self-Portrait object/3138669","object/3138669/title/Self-Portrait"
"Feed Mill, Carrollton object/3139159","object/3139159/title/Feed Mill, Carrollton"
"Lewellyn object/3139453","object/3139453/title/Lewellyn"
"Photographer Erwin E. Smith Riding a Sunfisher, and He is Not Pulling Leather, Bonham, Texas object/3139927","object/3139927/title/Photographer Erwin E. Smith Riding a Sunfisher, and He is Not Pulling Leather, Bonham, Texas"
"The Intruder object/3140202","object/3140202/title/The Intruder"
"Untitled (Field of Bluebonnets) object/3140450","object/3140450/title/Untitled (Field of Bluebonnets"
"Saddling Wild Horse object/3140827","object/3140827/title/Saddling Wild Horse"
"Winter Landscape object/3142982","object/3142982/title/Winter Landscape"
"Zerilda object/3143185","object/3143185/title/Zerilda"
"The Old Inge House object/3143544","object/3143544/title/The Old Inge House"
"Study–Blue Mountain object/3143642","object/3143642/title/Study–Blue Mountain"
"Costume Dance object/3143674","object/3143674/title/Costume Dance"
"End of the Trail object/3143981","object/3143981/title/End of the Trail"
"Sketchbook object/3144786","object/3144786/title/Sketchbook"
"The Struggle object/3145064","object/3145064/title/The Struggle"
"Arches object/3145406","object/3145406/title/Arches"
"Landscape object/3145422","object/3145422/title/Landscape"
"Untitled (locomotive) object/3145972","object/3145972/title/Untitled (locomotive"
"Meditation object/3146244","object/3146244/title/Meditation"
"Victor, Colorado object/3148583","object/3148583/title/Victor, Colorado"
"Persephone and the Elder object/3148973","object/3148973/title/Persephone and the Elder"
"South Akard Street object/3149188","object/3149188/title/South Akard Street"
"Lawdy-Lawdy object/3151173","object/3151173/title/Lawdy-Lawdy"
"Portrait of Mrs. S. I. Munger, Sr. object/3152132","object/3152132/title/Portrait of Mrs. S. I. Munger, Sr"
"Fighting Bulls object/3153699","object/3153699/title/Fighting Bulls"
"Periphery object/3153862","object/3153862/title/Periphery"
"Your War Savings Pledge. Our Boys make good their pledge. Are you keeping yours? object/3153903","object/3153903/title/Your War Savings Pledge. Our Boys make good their pledge. Are you keeping yours"
"Indian Mother and Child object/3154800","object/3154800/title/Indian Mother and Child"
"Negro Sharecroppers object/3154825","object/3154825/title/Negro Sharecroppers"
"East Dallas House in Snow object/3156022","object/3156022/title/East Dallas House in Snow"
"Magnolia Blossoms object/3156042","object/3156042/title/Magnolia Blossoms"
"Los Griegos Irrigation Ditch object/3156174","object/3156174/title/Los Griegos Irrigation Ditch"
"Prairie Dog object/3158294","object/3158294/title/Prairie Dog"
"Lion in the Forest object/3160253","object/3160253/title/Lion in the Forest"
"My Backyard object/3160272","object/3160272/title/My Backyard"
"Catholic Church object/3160328","object/3160328/title/Catholic Church"
"Off Massachusetts Bay object/3160350","object/3160350/title/Off Massachusetts Bay"
"Children Playing object/3161323","object/3161323/title/Children Playing"
"Navy! Uncle Sam is Calling YOU! Enlist in the Navy! Do it Now! object/3161960","object/3161960/title/Navy! Uncle Sam is Calling YOU! Enlist in the Navy! Do it Now"
"Ten Commandments object/3163094","object/3163094/title/Ten Commandments"
"Sketchbook object/3165689","object/3165689/title/Sketchbook"
"Railroad object/3166600","object/3166600/title/Railroad"
"Akeley Motion Picture Camera New York City (1923) object/3166657","object/3166657/title/Akeley Motion Picture Camera New York City (1923"
"Beef Killin' object/3166765","object/3166765/title/Beef Killin"
"Elephant Act object/3167154","object/3167154/title/Elephant Act"
"Terraced Fields object/3167790","object/3167790/title/Terraced Fields"
"The Devil's Garden object/3167844","object/3167844/title/The Devil's Garden"
"Cactus and Crow object/3168009","object/3168009/title/Cactus and Crow"
"Carnival on the Plains object/3168612","object/3168612/title/Carnival on the Plains"
"Prophet object/3168634","object/3168634/title/Prophet"
"Erwin E. Smith, photographer and cowboy artist, reading the head board on the rock-covered grave of a cowboy near the southern Arizona border.  His revolver is plainly visible in the holster.  OR Ranch, Arizona. object/3169045","object/3169045/title/Erwin E. Smith, photographer and cowboy artist, reading the head board on the rock-covered grave of a cowboy near the southern Arizona border.  His revolver is plainly visible in the holster.  OR Ranch, Arizona"
"The Fish and the Man object/3169436","object/3169436/title/The Fish and the Man"
"Amaryllis object/3169495","object/3169495/title/Amaryllis"
"The Cow Lot object/3169521","object/3169521/title/The Cow Lot"
"Lady of Fashion object/3169843","object/3169843/title/Lady of Fashion"
"Deep Winter object/3169971","object/3169971/title/Deep Winter"
"Cloudy Sky object/3170451","object/3170451/title/Cloudy Sky"
"Homestead object/3170474","object/3170474/title/Homestead"
"Men Working on West Lancaster object/3170511","object/3170511/title/Men Working on West Lancaster"
"Flower and Leaves object/3170761","object/3170761/title/Flower and Leaves"
"Sketchbook object/3172691","object/3172691/title/Sketchbook"
"Sketchbook object/3172890","object/3172890/title/Sketchbook"
"Mason County Landscape object/3173171","object/3173171/title/Mason County Landscape"
"The Critics object/3173432","object/3173432/title/The Critics"
"Abandoned Trail object/3173452","object/3173452/title/Abandoned Trail"
"Sketchbook object/3174570","object/3174570/title/Sketchbook"
"Summer Squash object/3174641","object/3174641/title/Summer Squash"
"Head object/3176412","object/3176412/title/Head"
"Dockers Riverside Hotel object/3176818","object/3176818/title/Dockers Riverside Hotel"
"Pennsylvania Station object/3176840","object/3176840/title/Pennsylvania Station"
"Copyist at the Metropolitan Museum object/3177308","object/3177308/title/Copyist at the Metropolitan Museum"
"Portrait of Mrs. George H. Crossman object/3177867","object/3177867/title/Portrait of Mrs. George H. Crossman"
"El Christo object/3178638","object/3178638/title/El Christo"
"Sketchbook object/3178836","object/3178836/title/Sketchbook"
"The Murder of Edith Cavell object/3179270","object/3179270/title/The Murder of Edith Cavell"
"Blackfeet Indians—Three Buttes object/3179483","object/3179483/title/Blackfeet Indians—Three Buttes"
"Milk Wagon object/3179580","object/3179580/title/Milk Wagon"
"Untitled (Carousel Horse) object/3180278","object/3180278/title/Untitled (Carousel Horse"
"Backyard Corner object/3180588","object/3180588/title/Backyard Corner"
"As Evening Comes (also known as Evening) object/3181991","object/3181991/title/As Evening Comes (also known as Evening"
"The Twins object/3182213","object/3182213/title/The Twins"
"Untitled object/3182453","object/3182453/title/Untitled"
"False Flags object/3183300","object/3183300/title/False Flags"
"Moonlight Over Silverton object/3184713","object/3184713/title/Moonlight Over Silverton"
"Smoke Screen object/3185022","object/3185022/title/Smoke Screen"
"Sketchbook object/3185391","object/3185391/title/Sketchbook"
",Swindletop, (Spindletop) object/3187607","object/3187607/title/,Swindletop, (Spindletop"
"Sunset with Man Standing on Shore object/3187789","object/3187789/title/Sunset with Man Standing on Shore"
"On the Lot object/3187940","object/3187940/title/On the Lot"
"Sinai July 1917 object/3188147","object/3188147/title/Sinai July 1917"
"Line Men object/3189307","object/3189307/title/Line Men"
"Cripple Creek object/3190030","object/3190030/title/Cripple Creek"
"Weighing Station, Krum, Texas #2 (two men) object/3191150","object/3191150/title/Weighing Station, Krum, Texas #2 (two men"
"Wood Stump object/3191185","object/3191185/title/Wood Stump"
"To Build Something Else object/3191955","object/3191955/title/To Build Something Else"
"Newsstand object/3192029","object/3192029/title/Newsstand"
"Death of St Francis object/3192642","object/3192642/title/Death of St Francis"
"Zito's Bakery object/3192881","object/3192881/title/Zito's Bakery"
"Theoline object/3192905","object/3192905/title/Theoline"
"Refinery Scene object/3192944","object/3192944/title/Refinery Scene"
"November, N.M. object/3193225","object/3193225/title/November, N.M"
"Marble Staircase object/3193244","object/3193244/title/Marble Staircase"
"Tree and Rocks object/3193354","object/3193354/title/Tree and Rocks"
"For Every Fighter a Woman Worker. Care for Her Through the YWCA. United War Work Campaign. object/3193601","object/3193601/title/For Every Fighter a Woman Worker. Care for Her Through the YWCA. United War Work Campaign"
"California, Here We Come object/3194141","object/3194141/title/California, Here We Come"
"Union Square object/3194644","object/3194644/title/Union Square"
"Construction Work Boulder Dam #1 object/3194665","object/3194665/title/Construction Work Boulder Dam #1"
"Fiesta of Ixtepec object/3194735","object/3194735/title/Fiesta of Ixtepec"
"Jesse James object/3196074","object/3196074/title/Jesse James"
"San Biagio object/3196156","object/3196156/title/San Biagio"
"If you can't go across with a gun, come across with your part of the Red Cross War Fund object/3196448","object/3196448/title/If you can't go across with a gun, come across with your part of the Red Cross War Fund"
"Churchyard, Trampas, New Mexico object/3196551","object/3196551/title/Churchyard, Trampas, New Mexico"
"Jim Smalley, Fisherman object/3197216","object/3197216/title/Jim Smalley, Fisherman"
"The Family of Cromwell Interceding for The Life of Charles I object/3197240","object/3197240/title/The Family of Cromwell Interceding for The Life of Charles I"
"Palmetto object/3197587","object/3197587/title/Palmetto"
"Vanity object/3199038","object/3199038/title/Vanity"
"Self Portrait object/3199061","object/3199061/title/Self Portrait"
"Sketchbook object/3200092","object/3200092/title/Sketchbook"
"The Upper Quarry object/3202099","object/3202099/title/The Upper Quarry"
"Slum Clearance object/3202237","object/3202237/title/Slum Clearance"
"San Ysidro Labrador object/3202820","object/3202820/title/San Ysidro Labrador"
"Sketchbook object/3203272","object/3203272/title/Sketchbook"
"Girl Sewing object/3204767","object/3204767/title/Girl Sewing"
"Sketchbook object/3206086","object/3206086/title/Sketchbook"
"Untitled (West Texas Scene) object/3206374","object/3206374/title/Untitled (West Texas Scene"
"Deep Elm object/3206716","object/3206716/title/Deep Elm"
"Oboe object/3207127","object/3207127/title/Oboe"
"Nuestra Senora de San Juan de los Lagos object/3207238","object/3207238/title/Nuestra Senora de San Juan de los Lagos"
"Winter Evening object/3207683","object/3207683/title/Winter Evening"
"Deserted Lime Kiln object/3207727","object/3207727/title/Deserted Lime Kiln"
"Cos Cob Dock object/3208111","object/3208111/title/Cos Cob Dock"
"Bois d'Arc Tree object/3208311","object/3208311/title/Bois d'Arc Tree"
"Oil Refining object/3209056","object/3209056/title/Oil Refining"
"The Bridge object/3209111","object/3209111/title/The Bridge"
"Sketchbook object/3209573","object/3209573/title/Sketchbook"
"Portrait of Mrs. George K. Meyer object/3210036","object/3210036/title/Portrait of Mrs. George K. Meyer"
"Poole's Sea Food object/3210200","object/3210200/title/Poole's Sea Food"
"New England Patriarchs object/3210347","object/3210347/title/New England Patriarchs"
"Man and Machinery object/3210847","object/3210847/title/Man and Machinery"
"Water Carriers of the Ganges object/3210866","object/3210866/title/Water Carriers of the Ganges"
"Horses object/3210887","object/3210887/title/Horses"
"Colorado Mines object/3211275","object/3211275/title/Colorado Mines"
"Fruit object/3211454","object/3211454/title/Fruit"
"Tri-Boro Barber School object/3211924","object/3211924/title/Tri-Boro Barber School"
"Oil Strike object/3212276","object/3212276/title/Oil Strike"
"Still Life with Fruit object/3212393","object/3212393/title/Still Life with Fruit"
"That Gentleman Study object/3213549","object/3213549/title/That Gentleman Study"
"The Slide object/3214245","object/3214245/title/The Slide"
"Woodbury Langdon object/3214606","object/3214606/title/Woodbury Langdon"
"Soaring New York object/3215139","object/3215139/title/Soaring New York"
"Church and Sun object/3215155","object/3215155/title/Church and Sun"
"Leda object/3217105","object/3217105/title/Leda"
"Hula Drum object/3217413","object/3217413/title/Hula Drum"
"After the Cutting object/3217664","object/3217664/title/After the Cutting"
"Emma in a Purple Dress object/3218143","object/3218143/title/Emma in a Purple Dress"
"Sketchbook object/3220270","object/3220270/title/Sketchbook"
"Commissary object/3220413","object/3220413/title/Commissary"
"Untitled (Still Life with Pitcher and Pomegranate) object/3220434","object/3220434/title/Untitled (Still Life with Pitcher and Pomegranate"
"Untitled (Landscape with Adobe and Blue Mountain) object/3220459","object/3220459/title/Untitled (Landscape with Adobe and Blue Mountain"
"Boxcar object/3220505","object/3220505/title/Boxcar"
"Little Dolphin object/3220996","object/3220996/title/Little Dolphin"
"Bourton Hill Farm, Gloucestershire object/3221215","object/3221215/title/Bourton Hill Farm, Gloucestershire"
"Ablington Manor, Gloucestershire object/3221236","object/3221236/title/Ablington Manor, Gloucestershire"
"Wash Day object/3221254","object/3221254/title/Wash Day"
"The Miner object/3221395","object/3221395/title/The Miner"
"Row's End object/3221417","object/3221417/title/Row's End"
"Manhattan Nocturne object/3221675","object/3221675/title/Manhattan Nocturne"
"Koshare object/3223063","object/3223063/title/Koshare"
"Molten Skies object/3223645","object/3223645/title/Molten Skies"
"O'er Hill and Dale object/3223673","object/3223673/title/O'er Hill and Dale"
"Sketchbook object/3223809","object/3223809/title/Sketchbook"
"The Jewish Welfare Board United War Work Campaign—Week of November 11, 1918 object/3223853","object/3223853/title/The Jewish Welfare Board United War Work Campaign—Week of November 11, 1918"
"The Unsafe Tenement object/3224296","object/3224296/title/The Unsafe Tenement"
"Fishing Village object/3224387","object/3224387/title/Fishing Village"
"Anna Hart, Mrs. Isaac Hull object/3224422","object/3224422/title/Anna Hart, Mrs. Isaac Hull"
"Old Man object/3224803","object/3224803/title/Old Man"
"Opera at Popular Prices object/3224823","object/3224823/title/Opera at Popular Prices"
"Sketchbook object/3225344","object/3225344/title/Sketchbook"
"A crown to York; —and lords, bow low to him. (illustration reproduction for ,Henry VI, Part III,) object/3225455","object/3225455/title/A crown to York; —and lords, bow low to him. (illustration reproduction for ,Henry VI, Part III"
"Hondo Valley (Valdez, New Mexico) object/3227417","object/3227417/title/Hondo Valley (Valdez, New Mexico"
"Truchas object/3229722","object/3229722/title/Truchas"
"Fields object/3230632","object/3230632/title/Fields"
"My Brothers Keeper object/3231693","object/3231693/title/My Brothers Keeper"
"Willow Patterns object/3232276","object/3232276/title/Willow Patterns"
"St. Joseph object/3232492","object/3232492/title/St. Joseph"
"Art Beauty Shoppe object/3233442","object/3233442/title/Art Beauty Shoppe"
"Hill Country object/3233886","object/3233886/title/Hill Country"
"Lighthouse Hill object/3233927","object/3233927/title/Lighthouse Hill"
"March Fantasy object/3235769","object/3235769/title/March Fantasy"
"Unloading the First Cattle in North America, Vera Cruz, 1521 object/3235993","object/3235993/title/Unloading the First Cattle in North America, Vera Cruz, 1521"
"Winter Morning object/3236112","object/3236112/title/Winter Morning"
"Young Boy object/3241287","object/3241287/title/Young Boy"
"Seascape object/3242338","object/3242338/title/Seascape"
"Venetian Sunset object/3242915","object/3242915/title/Venetian Sunset"
"Sketchbook object/3243234","object/3243234/title/Sketchbook"
"Landscape object/3243365","object/3243365/title/Landscape"
"Man of Destiny (Stevenson) object/3243741","object/3243741/title/Man of Destiny (Stevenson"
"Development of Cartoon Series object/3243747","object/3243747/title/Development of Cartoon Series"
"Man of Destiny (Eisenhower) object/3243749","object/3243749/title/Man of Destiny (Eisenhower"
"Man of Destiny (Eisenhower) object/3243751","object/3243751/title/Man of Destiny (Eisenhower"
"Man of Destiny (Stevenson) object/3243753","object/3243753/title/Man of Destiny (Stevenson"
"Cedar and Whiterock object/3245924","object/3245924/title/Cedar and Whiterock"
"Half Moon Bay object/3246019","object/3246019/title/Half Moon Bay"
"Goin' Home object/3246039","object/3246039/title/Goin' Home"
"Crows in Melon Patch object/3246137","object/3246137/title/Crows in Melon Patch"
"Cotton Stalk object/3246167","object/3246167/title/Cotton Stalk"
"Evening Sky object/3246303","object/3246303/title/Evening Sky"
"Springtime object/3246801","object/3246801/title/Springtime"
"Ptarmigans object/3246887","object/3246887/title/Ptarmigans"
"The Pilot object/3247036","object/3247036/title/The Pilot"
"Deep Water object/3247232","object/3247232/title/Deep Water"
"Barnyard with Tanks and Pigs object/3247280","object/3247280/title/Barnyard with Tanks and Pigs"
"Wreck of the Old 97 object/3247373","object/3247373/title/Wreck of the Old 97"
"One Lie is Sufficient object/3248590","object/3248590/title/One Lie is Sufficient"
"Maguey object/3249007","object/3249007/title/Maguey"
"Horned Animals object/3249429","object/3249429/title/Horned Animals"
"Harvest object/3249477","object/3249477/title/Harvest"
"Texas Courthouse object/3249826","object/3249826/title/Texas Courthouse"
"Venus object/3250433","object/3250433/title/Venus"
"Hillside Adobes, Santa Fe object/3251294","object/3251294/title/Hillside Adobes, Santa Fe"
"Sharecropper's House object/3252329","object/3252329/title/Sharecropper's House"
"Street Scene object/3253262","object/3253262/title/Street Scene"
"Old Texas House object/3255297","object/3255297/title/Old Texas House"
"Cotton Yard object/3255375","object/3255375/title/Cotton Yard"
"Jack Rabbit object/3256574","object/3256574/title/Jack Rabbit"
"Pendulum object/3256976","object/3256976/title/Pendulum"
"Self-Portrait object/3257593","object/3257593/title/Self-Portrait"
